Congress,Id,Issue,PublishDate,Volume,PDF URL
117,26932,87,2022-05-19,168,https://www.congress.gov/117/crec/2022/05/19/168/87/CREC-2022-05-19-i87-dailydigest.pdf
117,26932,87,2022-05-19,168,https://www.congress.gov/117/crec/2022/05/19/168/87/CREC-2022-05-19-i87.pdf
117,26932,87,2022-05-19,168,https://www.congress.gov/117/crec/2022/05/20/168/87/CREC-2022-05-20-house.pdf
117,26932,87,2022-05-19,168,https://www.congress.gov/117/crec/2022/05/20/168/87/CREC-2022-05-20-extensions.pdf
117,26932,87,2022-05-19,168,https://www.congress.gov/117/crec/2022/05/19/168/87/CREC-2022-05-19-i87-senate.pdf
117,26931,86,2022-05-19,168,https://www.congress.gov/117/crec/2022/05/19/168/86/CREC-2022-05-19-i86-dailydigest.pdf
117,26931,86,2022-05-19,168,https://www.congress.gov/117/crec/2022/05/19/168/86/CREC-2022-05-19-i86.pdf
117,26931,86,2022-05-19,168,https://www.congress.gov/117/crec/2022/05/19/168/86/CREC-2022-05-19-i86-house.pdf
117,26931,86,2022-05-19,168,https://www.congress.gov/117/crec/2022/05/19/168/86/CREC-2022-05-19-i86-extensions.pdf
117,26931,86,2022-05-19,168,https://www.congress.gov/117/crec/2022/05/19/168/86/CREC-2022-05-19-senate.pdf
